"","logFC","logCPM","PValue","FDR"
"Solyc02g090810.2.1",1.84485213353286,2.05074716841292,0.000293812829583694,0.00152290106721182
"Solyc02g069250.2.1",1.84366728844134,4.97952763926537,2.99283884672582e-10,6.42270495628972e-09
"Solyc01g098910.2.1",1.84112541684058,5.95562793063953,4.43612826889035e-10,9.24334410686771e-09
"Solyc06g010060.1.1",1.83948213031814,4.60179607580355,3.48276279973751e-07,4.13123378432152e-06
"Solyc08g062520.2.1",1.83947080556007,-0.295756581537217,0.00149443573751922,0.0061112032539088
"Solyc05g024180.2.1",1.83931178353139,1.23974139574263,0.000751788473459803,0.00343151201146863
"Solyc12g006220.1.1",1.83870038952635,5.08299043389378,2.37183120611413e-05,0.000174174710945788
"Solyc12g006570.1.1",1.83803978926959,6.99998574286804,3.05432760594154e-06,2.83337361940578e-05
"Solyc08g075690.2.1",1.83733227941724,6.68712577441601,1.1120220082964e-06,1.16280769955611e-05
"Solyc02g091870.2.1",1.83719090699916,6.9878782533783,1.60654359095675e-06,1.60521413415239e-05
"Solyc07g063640.1.1",1.83559656831441,3.31778519144735,1.1136849182552e-07,1.46918031683108e-06
"Solyc12g017390.1.1",1.83472154808027,6.59154903063547,2.05643565571882e-07,2.57233862474621e-06
"Solyc09g064670.1.1",1.83347989089174,1.95981849562826,0.000214352728487022,0.00115923289585591
"Solyc11g010980.1.1",1.83318529894056,0.25760929630935,6.44376548545409e-05,0.000414427877773486
"Solyc01g005050.2.1",1.83264442498178,6.80305315579382,5.25987069466002e-05,0.000348043535062577
"Solyc06g069100.1.1",1.83072198974198,4.69498437079557,1.3969259218873e-08,2.23791044511289e-07
"Solyc01g056580.2.1",1.83042977118989,3.78429139213359,1.20377849314961e-09,2.34828932069262e-08
"Solyc03g093360.2.1",1.83004682854641,8.19465715858145,1.32438179313694e-06,1.35274455549219e-05
"Solyc06g071650.1.1",1.82843267379792,3.23902949445061,5.03311774261e-07,5.76171427810459e-06
"Solyc01g066870.2.1",1.82737990350669,5.27788102564892,1.3768593801002e-06,1.39887205663767e-05
"Solyc09g074870.2.1",1.82737654098555,5.91306559781187,1.19176682323179e-05,9.48657969873715e-05
"Solyc06g036130.2.1",1.82515644730692,5.97416011184007,8.64056865924868e-11,2.00427993540773e-09
"Solyc02g084670.2.1",1.82502042527107,9.85590749371228,2.10826981491289e-08,3.2460280418736e-07
"Solyc05g053960.2.1",1.8249652099061,3.72545276632135,3.65341340639888e-09,6.56326992609215e-08
"Solyc09g061890.2.1",1.82449616176379,6.28084572656334,7.0709131020342e-07,7.80249242298059e-06
"Solyc04g063320.1.1",1.82369444982442,1.44231173715256,0.00215888229549648,0.008322453157618
"Solyc12g006950.1.1",1.82231542583207,6.76557381827507,7.73049330487524e-06,6.45126398352648e-05
"Solyc03g117150.2.1",1.82216401348631,7.94036322204331,1.0502286304893e-08,1.72835688752188e-07
